"timestamp","atm_strike","atm_option_type","atm_current_oi","atm_lookback_oi","atm_oi_change_abs","atm_oi_change_pct","atm_oi_vs_ema","otm_option_type","otm_current_oi","otm_lookback_oi","otm_oi_change_abs","otm_oi_change_pct","otm_oi_vs_ema","squeeze_metric","minute_high","day_low","day_low_time","atm_close","spot_price","sentiment_signal","created_at"
"2026-02-13 12:20:00+05:30",25400,"CE","1642615","1682720","-40105","-2.38","BELOW","PE","8322860","8157370","165490","2.03","ABOVE","31.50","230.75","199.25","2026-02-13 11:41:00+05:30","230.15","25572.30","2.9044","2026-02-13 12:21:34.660515+05:30"
"2026-02-13 12:20:00+05:30",25450,"CE","1167010","1218425","-51415","-4.22","BELOW","PE","5102500","4944940","157560","3.19","ABOVE","28.90","191.95","163.05","2026-02-13 11:41:00+05:30","191.00","25572.30","2.9044","2026-02-13 12:21:34.660515+05:30"
"2026-02-13 12:21:00+05:30",25400,"CE","1642615","1682720","-40105","-2.38","BELOW","PE","8322860","8157370","165490","2.03","ABOVE","31.10","230.35","199.25","2026-02-13 11:41:00+05:30","228.35","25576.00","2.9044","2026-02-13 12:22:31.69513+05:30"
"2026-02-13 12:21:00+05:30",25450,"CE","1167010","1218425","-51415","-4.22","BELOW","PE","5102500","4944940","157560","3.19","ABOVE","28.50","191.55","163.05","2026-02-13 11:41:00+05:30","189.05","25576.00","2.9044","2026-02-13 12:22:31.69513+05:30"
"2026-02-13 12:23:00+05:30",25400,"CE","1619670","1669720","-50050","-3.00","BELOW","PE","8346325","8177325","169000","2.07","ABOVE","30.95","230.20","199.25","2026-02-13 11:41:00+05:30","227.65","25576.25","4.6067","2026-02-13 12:24:31.538052+05:30"
"2026-02-13 12:24:00+05:30",25400,"CE","1619670","1669720","-50050","-3.00","BELOW","PE","8346325","8177325","169000","2.07","ABOVE","33.05","232.30","199.25","2026-02-13 11:41:00+05:30","230.45","25574.45","4.6067","2026-02-13 12:25:37.519251+05:30"
"2026-02-13 12:35:00+05:30",25350,"CE","204230","208845","-4615","-2.21","BELOW","PE","3519100","3425760","93340","2.72","ABOVE","54.55","292.70","238.15","2026-02-13 11:41:00+05:30","288.35","25602.45","9.6374","2026-02-13 12:36:35.443195+05:30"
"2026-02-13 12:35:00+05:30",25550,"CE","6367270","6944795","-577525","-8.32","BELOW","PE","11021855","10572640","449215","4.25","ABOVE","37.00","139.40","102.40","2026-02-13 11:41:00+05:30","136.40","25602.45","9.6374","2026-02-13 12:36:35.443195+05:30"
"2026-02-13 12:36:00+05:30",25350,"CE","204230","208845","-4615","-2.21","BELOW","PE","3519100","3425760","93340","2.72","ABOVE","50.70","288.85","238.15","2026-02-13 11:41:00+05:30","286.40","25594.90","10.3501","2026-02-13 12:37:33.800791+05:30"
"2026-02-13 12:37:00+05:30",25350,"CE","204230","210600","-6370","-3.02","BELOW","PE","3519100","3436940","82160","2.39","ABOVE","48.25","286.40","238.15","2026-02-13 11:41:00+05:30","283.55","25590.20","6.3449","2026-02-13 12:38:40.624653+05:30"
